Space group number,A,B,C,Alpha_90,Alpha,Beta_90,Beta,Gamma_90,Gamma,Z value,Molecular weight_category,S_L_category,M_L_category,S_M_category,S_category,Globularity_category,FrTPSA_category,Dipole moment_category,Refcode,SMILES,InChI string,Cell volume,Calculated density,Study temperature,Number of coordinates,Z prime,R factor,Unique chemical units,Multiplier sum,Molecular weight,S_L,M_L,S_M,S,Globularity,FrTPSA,Dipole moment,Space Group symbol,Publication year,Predicted density
2,7.46,10.74,17.49,False,98.6,False,85.6,False,108.6,4,2,4,3,5,5,4,1,1,AMDPYR10,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O,"InChI=1S/2C13H17N3O/c2*1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h2*5-9H,1-4H3",1312.3870000000004,1.171,295,68,2.0,5.5,1,1,231.1371622,0.7714670220000001,0.8651405440000001,0.891724503,8.605788745,0.571373118,0.097107879,0.928051858,P-1,1976,1.21189
19,12.16,12.29,25.27,True,90.0,True,90.0,True,90.0,8,3,3,1,6,7,3,2,2,AMEPOX,CCN(CC)C(=O)NC1CN(C)C2CC3=CNc4cccc(C2=C1)c34,"InChI=1S/2C20H26N4O/c2*1-4-24(5-2)20(25)22-14-10-16-15-7-6-8-17-19(15)13(11-21-17)9-18(16)23(3)12-14/h2*6-8,10-11,14,18,21H,4-5,9,12H2,1-3H3,(H,22,25)/t2*14-,18+/m00/s1",3776.369,1.1909999999999998,293,102,2.0,7.2,1,1,338.2106615,0.6577861660000001,0.692058871,0.950477183,10.00808011,0.5081515910000001,0.114930985,1.3434404169999998,P212121,2003,1.21612
14,10.73,9.03,18.33,True,90.0,False,97.24,True,90.0,4,4,2,4,2,5,3,4,5,AMEVAP,NS(=O)(=O)c1cc2c(NC(=NS2(=O)=O)CSCc2ccccc2)cc1Cl,"InChI=1S/C15H14ClN3O4S3/c16-11-6-12-14(7-13(11)25(17,20)21)26(22,23)19-15(18-12)9-24-8-10-4-2-1-3-5-10/h1-7H,8-9H2,(H,18,19)(H2,17,20,21)",1761.0120000000004,1.629,293,40,1.0,5.89,1,1,430.9834966,0.531901648,0.919342381,0.578567527,8.132499909,0.538083167,0.376423651,4.628266238999999,P21/a,2003,1.54089
33,11.77,9.74,12.99,True,90.0,True,90.0,True,90.0,4,3,3,1,6,6,4,2,1,AMOXAP,Clc1ccc2Oc3ccccc3N=C(N3CCNCC3)c2c1,"InChI=1S/C17H16ClN3O/c18-12-5-6-15-13(11-12)17(21-9-7-19-8-10-21)20-14-3-1-2-4-16(14)22-15/h1-6,11,19H,7-10H2",1488.997,1.4,295,33,1.0,4.9,1,1,313.0981898,0.686978115,0.6935607290000001,0.990508958,9.160345742999999,0.573647094,0.104542424,0.8254809679999999,Pna21,1977,1.3754
15,21.48,11.59,10.37,True,90.0,False,97.07,True,90.0,8,2,3,4,4,4,4,3,3,AMYTAL10,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,"InChI=1S/C11H18N2O3/c1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",2562.015,1.173,295,26,1.0,6.9,1,1,226.1317424,0.695328663,0.932099765,0.745980944,7.549013665,0.570618066,0.245990431,2.753833725,C2/c,1969,1.22419
14,10.28,22.6,11.68,True,90.0,False,109.1,True,90.0,8,2,5,4,6,5,4,3,3,AMYTAL11,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,"InChI=1S/2C11H18N2O3/c2*1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h2*7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",2564.348,1.172,295,53,2.0,7.1,1,1,226.1317424,0.87624448,0.941083033,0.931102198,8.715837846,0.580376107,0.250215525,2.812855921,P21/c,1969,1.22419
2,9.5,9.54,16.55,False,80.81,False,77.91,False,73.74,4,3,5,4,5,6,5,2,2,ANIXAX,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc12,"InChI=1S/2C16H12ClFN2O/c2*1-20-14-7-6-10(17)8-12(14)16(19-9-15(20)21)11-4-2-3-5-13(11)18/h2*2-8H,9H2,1H3",1399.48,1.4369999999999998,296,66,2.0,3.85,1,1,302.0622189,0.809806417,0.953695823,0.849124425,9.009620045,0.615427194,0.105286456,1.702522562,P-1,2011,1.42447
4,9.15,9.59,9.51,True,90.0,False,91.38,True,90.0,2,3,2,2,4,4,4,2,3,ANSTER10,CC1(O)CCC2C3CCC4CC(=O)OCC4(C)C3CCC12C,"InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3/t12-,13+,14-,15-,17-,18-,19-/m0/s1",834.1439999999999,1.22,295,52,1.0,3.5,1,1,306.2194948,0.583537719,0.7390394509999999,0.789589403,7.651028173999999,0.586127686,0.126309899,2.365333361,P21,1975,1.19694
19,5.04,10.44,21.42,True,90.0,True,90.0,True,90.0,4,2,3,3,5,4,4,5,1,ARADEN10,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7+,10-/m1/s1",1126.03,1.5759999999999998,295,32,1.0,3.2,1,1,267.0967539,0.696669643,0.86898534,0.8017047140000001,7.924151742999999,0.59130255,0.469451584,0.90676388,P212121,1974,1.5547799999999998
19,7.42,8.46,16.1,True,90.0,True,90.0,True,90.0,4,2,3,3,5,4,5,5,2,ARBCYT10,NC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1O,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7+,8-/m1/s1",1010.649,1.598,295,30,1.0,6.4,1,1,243.0855205,0.681343496,0.843627127,0.807635832,7.723211958999999,0.6050398060000001,0.475551985,1.78384605,P212121,1974,1.54167
